pollutant,fuel_type,acceleration,f_1,f_2,f_3,f_4,f_5,f_6
CO_2,PETROL,all,0.553,0.161,-0.00289,0.266,0.511,0.183
CO_2,DIESEL,all,0.324,0.0859,0.00496,-0.0586,0.448,0.23
CO_2,LPG,all,0.6,0.219,-0.00774,0.357,0.514,0.17
NO_x,PETROL,>= -0.5,0.000619,8E-05,-4.03E-06,-0.000413,0.00038,0.000177
NO_x,PETROL,< -0.5,0.000217,0,0,0,0,0
NO_x,DIESEL,>= -0.5,0.00241,-0.000411,6.73E-05,-0.00307,0.00214,0.0015
NO_x,DIESEL,< -0.5,0.00168,-6.62E-05,9E-06,0.00025,0.000291,0.00012
NO_x,LPG,>= -0.5,0.000892,1.61E-05,-8.06E-07,-8.23E-05,7.6E-05,3.54E-05
NO_x,LPG,< -0.5,0.000343,0,0,0,0,0
VOC,PETROL,>= -0.5,0.00447,7.32E-07,-2.87E-08,-3.41E-06,4.94E-06,1.66E-06
VOC,PETROL,< -0.5,0.00263,0,0,0,0,0
VOC,DIESEL,>= -0.5,9.22E-05,9.09E-06,-2.29E-07,-2.2E-05,1.69E-05,3.75E-06
VOC,DIESEL,< -0.5,5.25E-05,7.22E-06,-1.87E-07,0,-1.02E-05,-4.22E-06
VOC,LPG,>= -0.5,0.0144,1.74E-07,-6.82E-09,-8.11E-07,1.18E-06,3.96E-07
VOC,LPG,< -0.5,0.00842,0,0,0,0,0
PM,PETROL,all,0,1.57E-05,-9.21E-07,0,3.75E-05,1.89E-05
PM,DIESEL,all,0,0.000313,-1.84E-05,0,0.00075,0.000378
PM,LPG,all,0,1.57E-05,-9.21E-07,0,3.75E-05,1.89E-05
